title,author,isbn,publication_year
The Pragmatic Programmer,Andrew Hunt,9780135957059,1999
Clean Code,Robert C. Martin,9780132350884,2008
Refactoring,Martin Fowler,9780201485677,1999
Design Patterns,Erich Gamma,9780201633610,1994
Python Cookbook,David Beazley,9781449340377,2013
Django Unleashed,Andrew Pinkham,9780133902834,2015
Fluent Python,Luciano Ramalho,9781491946008,2015
Test-Driven Development,Kent Beck,9780321146533,2002
Working Effectively with Legacy Code,Michael Feathers,9780131177055,2004
Effective Python,Brett Slatkin,9780134034287,2015
